,Recipe Number,Rating,Number of Ratings
15925,15925,0,0
15927,15927,0,0
15928,15928,0,0
15930,15930,0,0
15932,15932,0,0
15933,15933,0,0
15935,15935,0,0
15937,15937,0,0
15938,15938,0,0
15940,15940,0,0
15941,15941,0,0
15943,15943,0,0
15944,15944,0,0
15945,15945,0,0
15946,15946,0,0
15947,15947,0,0
15949,15949,0,0
15950,15950,0,0
15952,15952,0,0
15954,15954,0,0
15955,15955,0,0
15957,15957,0,0
15959,15959,0,0
15960,15960,0,0
15961,15961,0,0
15962,15962,0,0
15963,15963,0,0
15965,15965,0,0
15966,15966,0,0
15967,15967,0,0
15969,15969,0,0
15970,15970,0,0
15972,15972,0,0
15973,15973,0,0
15975,15975,0,0
15977,15977,0,0
15978,15978,0,0
15980,15980,0,0
15982,15982,0,0
15983,15983,0,0
15984,15984,0,0
15986,15986,0,0
15988,15988,0,0
15990,15990,0,0
15991,15991,0,0
15993,15993,0,0
15994,15994,0,0
15996,15996,0,0
15997,15997,0,0
15998,15998,0,0
16000,16000,0,0
16001,16001,0,0
16002,16002,0,0
16004,16004,0,0
16005,16005,0,0
16007,16007,0,0
16008,16008,0,0
16009,16009,0,0
16010,16010,0,0
16012,16012,0,0
16013,16013,0,0
16015,16015,0,0
16016,16016,0,0
16018,16018,0,0
16021,16021,0,0
16023,16023,0,0
16024,16024,0,0
16026,16026,0,0
16027,16027,0,0
16029,16029,0,0
16031,16031,0,0
16032,16032,0,0
16034,16034,0,0
16035,16035,0,0
16037,16037,0,0
16038,16038,0,0
16040,16040,0,0
16042,16042,0,0
16043,16043,0,0
16044,16044,0,0
16046,16046,0,0
16047,16047,0,0
16049,16049,0,0
16050,16050,0,0
16051,16051,0,0
16052,16052,0,0
16054,16054,0,0
16055,16055,0,0
16057,16057,0,0
16058,16058,0,0
16060,16060,0,0
16062,16062,0,0
16063,16063,0,0
16065,16065,0,0
16066,16066,0,0
16068,16068,0,0
16069,16069,0,0
16071,16071,0,0
16073,16073,0,0
16074,16074,0,0
16076,16076,0,0
16077,16077,0,0
16079,16079,0,0
16080,16080,0,0
